Frequency (MHz),Peak (dBuV),Average (dBuV)
1.49348,0.28,-1.34
1.50059,-0.45,-1.34
1.50772,2.07,-0.69
1.51489,2.07,-0.93
1.52209,1.18,-0.93
1.52933,1.91,-0.45
1.53660,1.91,-9.39
1.55125,-0.12,-1.02
1.55862,-0.37,-1.02
1.58096,-0.04,-0.61
1.58848,0.37,-0.69
1.59603,2.72,-0.69
1.63434,1.67,-0.77
1.64211,1.67,-0.77
1.66564,-0.20,-0.28
1.67356,-0.20,-0.28
1.68152,1.34,-0.37
1.68952,-0.20,-0.45
1.69755,-0.12,-0.45
1.70562,1.42,-0.28
1.71373,1.42,-1.59
1.72188,-0.37,-1.59
1.73007,0.04,-0.53
1.73829,0.04,-1.18
1.74656,1.10,-1.18
1.78001,2.15,-9.23
1.78848,2.15,-1.34
1.79698,-0.04,-1.34
1.80553,0.28,-0.61
1.81411,0.28,-0.37
1.82274,-0.45,-0.61
1.83140,-0.45,-0.61
1.84011,-0.93,-1.10
1.84886,-0.93,-1.10
1.85765,-0.20,-0.37
1.86648,0.04,-0.61
1.87536,1.02,-0.77
1.88428,-0.04,-0.77
1.89324,-0.37,-1.18
1.90224,-1.26,-2.32
1.91128,-1.26,-2.32
1.92037,-0.93,-1.75
1.92950,1.67,-1.75
1.95715,-0.20,-0.61
1.96646,-0.20,-0.93
2.05223,-0.45,-1.67
2.06199,1.83,-1.67
2.08164,-0.69,-1.59
2.09154,-0.69,-1.59
2.10149,-0.45,-1.42
2.11148,-0.45,-1.42
2.12152,-0.53,-1.67
2.13160,-0.93,-1.67
2.15192,-0.12,-1.10
2.16216,-0.53,-1.18
2.19314,0.53,-0.53
2.20357,-0.12,-1.83
2.21405,-0.12,-1.83
2.22458,0.28,-1.18
2.23515,-1.18,-1.67
2.24578,-1.18,-1.67
2.25646,-0.04,-1.50
2.26719,-0.45,-1.34
2.27797,-0.69,-9.39
2.29968,-0.28,-1.18
2.31062,0.12,-1.18
2.32160,0.04,-1.10
2.36607,-0.37,-0.61
2.37732,-0.37,-0.85
2.38863,-0.45,-1.18
2.44596,-0.37,-1.34
2.45759,-0.37,-1.26
2.46927,-0.69,-1.26
2.48101,-0.69,-0.93
2.49281,0.28,-1.42
2.50466,0.28,-9.15
2.51657,-0.53,-1.42
2.52854,-0.53,-1.02
2.54056,-0.12,-1.02
2.55264,-0.45,-1.02
2.56478,-0.45,-1.02
2.57697,0.37,-1.26
2.58923,0.37,-1.26
2.60154,1.83,-1.50
2.61391,1.83,-1.50
2.62634,-0.20,-0.85
2.63882,-0.20,-1.26
2.65137,0.12,-1.50
2.66398,2.07,-1.50
2.67664,2.07,-0.77
2.68937,-0.20,-1.83
2.70216,-0.20,-1.83
2.71501,-0.12,-1.34
2.72792,-0.12,-9.07
2.74089,0.28,-1.34
2.75392,-0.61,-1.34
2.76701,-0.61,-0.93
2.78017,-0.61,-1.83
2.79339,-0.77,-1.83
2.86043,-9.47,-9.55
2.87403,-0.85,-1.34
2.88770,-0.45,-1.34
2.90143,-0.37,-1.26
2.91522,-0.61,-1.26
2.92909,-0.61,-1.18
2.94301,0.12,-9.23
2.95701,-0.53,-1.59
2.97107,-0.53,-1.59
2.98519,0.45,-1.34
2.99939,0.45,-8.90
3.01365,-0.12,-1.83
3.02798,-0.12,-1.83
3.04237,-0.20,-0.77
3.05684,-0.20,-1.18
3.07138,0.20,-1.18
3.08598,0.20,-1.18
3.10065,0.28,-1.18
3.11540,0.28,-1.50
3.13021,0.85,-1.50
3.14509,0.12,-1.34
3.16005,-0.04,-1.75
3.17507,-0.69,-1.75
3.19017,-0.69,-1.18
3.25128,0.28,-1.83
3.26674,0.28,-2.32
3.28227,0.77,-2.32
3.29787,0.93,-1.10
3.31355,0.93,-0.93
3.32931,0.77,-1.50
3.34514,0.77,-1.50
3.36105,0.37,-1.99
3.37703,0.37,-1.99
3.39308,0.37,-1.59
3.40922,0.61,-1.34
3.42543,0.61,-9.23
3.44171,0.61,-1.59
3.45808,0.53,-2.48
3.47452,0.53,-2.48
3.49104,0.53,-1.59
3.50764,0.20,-1.59
3.52432,0.20,-1.42
3.54108,0.53,-1.50
3.55791,0.12,-1.50
3.57483,0.12,-1.67
3.59183,0.61,-1.67
3.66063,0.04,-1.34
3.67804,0.45,-9.31
3.69552,1.42,-1.42
3.71310,1.18,-1.50
3.73075,1.18,-1.50
3.74849,1.10,-9.47
3.76631,0.93,-9.63
3.78422,1.67,-1.10
3.80221,1.50,-1.10
3.82029,0.77,-9.23
3.83846,0.85,-1.26
3.85671,0.85,-1.42
3.87505,0.45,-1.67
3.89347,1.50,-1.67
3.91198,1.50,-1.02
3.93058,0.85,-1.50
3.94927,0.85,-1.67
3.96805,0.12,-9.55
3.98692,0.69,-1.67
4.06329,0.37,-1.26
4.08261,0.93,-1.26
4.10202,0.61,-1.34
4.12152,1.34,-1.34
4.14112,1.67,-1.67
4.16081,1.91,-1.91
4.18060,1.91,-1.91
4.20047,0.53,-2.07
4.22045,0.77,-2.07
4.24051,1.50,-1.10
4.26068,1.50,-1.59
4.28093,1.34,-1.59
4.30129,1.34,-1.99
4.32174,0.12,-1.99
4.34229,0.12,-1.83
4.36294,1.91,-1.67
4.38368,0.93,-9.31
4.46765,0.93,-2.07
4.48889,0.93,-1.59
4.51024,0.93,-1.50
4.53168,1.18,-1.67
4.55323,1.18,-1.67
4.57488,1.02,-9.23
4.59663,1.67,-1.91
4.61849,1.67,-1.91
4.64045,0.61,-0.93
4.66251,0.61,-1.75
4.68468,1.75,-1.75
4.70696,1.10,-1.75
4.72934,0.77,-1.75
4.75182,0.45,-1.50
4.77442,1.26,-9.63
4.79712,0.12,-1.50
4.86587,-0.53,-1.83
4.88901,0.45,-1.83
4.91226,0.85,-1.91
4.93561,0.93,-1.91
4.95908,0.93,-1.67
4.98266,0.53,-1.99
5.00635,-0.12,-1.99
5.03015,1.02,-1.83
5.05407,1.02,-1.26
5.07810,1.02,-9.39
5.10225,0.53,-1.42
5.12651,0.85,-1.42
5.15088,0.85,-1.34
5.17537,0.69,-9.31
5.27451,1.02,-9.15
5.29959,1.02,-1.42
5.32479,1.10,-1.91
5.35011,1.10,-1.91
5.37554,1.02,-1.75
5.40110,1.59,-1.91
5.42679,1.59,-1.91
5.45259,1.99,-1.18
5.47851,1.99,-1.18
5.50456,1.42,-0.85
5.53074,0.61,-1.75
5.55703,1.02,-1.75
5.58346,0.53,-1.10
5.69041,0.12,-1.59
5.71746,1.50,-1.26
5.74465,1.83,-2.15
5.77196,1.83,-2.15
5.79941,1.18,-1.59
5.82698,1.18,-9.31
5.85469,0.53,-1.59
5.88253,1.26,-1.67
5.91050,1.26,-1.67
6.08113,2.32,-1.67
6.11005,0.85,-1.67
6.13910,0.85,-9.39
6.16829,0.85,-9.47
6.19762,0.77,-1.67
6.22709,0.77,-1.67
6.25670,1.34,-1.50
6.28645,1.34,-2.07
6.31634,1.91,-2.24
6.34637,1.91,-2.24
6.37654,0.37,-1.50
6.49869,0.61,-1.42
6.52959,1.67,-1.75
6.56063,1.67,-1.75
6.59183,1.59,-1.59
6.62317,1.59,-2.48
6.65466,0.93,-2.48
6.68631,0.93,-1.34
6.71810,2.07,-1.34
6.75004,2.07,-1.26
6.78213,1.34,-2.24
6.91205,1.10,-1.59
6.94491,1.10,-1.59
6.97793,2.24,-1.99
7.01111,2.24,-1.99
7.04445,1.26,-1.83
7.07794,1.26,-1.83
7.11160,0.37,-2.24
7.14541,0.37,-2.24
7.17939,3.29,-1.83
7.31691,1.67,-1.91
7.35170,1.42,-1.91
7.38666,2.56,-1.42
7.42178,2.56,-9.39
7.45707,1.02,-1.91
7.49252,1.02,-1.91
7.52815,1.59,-1.75
7.56394,1.59,-1.91
7.59991,0.85,-1.91
7.70883,0.45,-1.99
7.74549,1.34,-1.99
7.78231,1.34,-1.75
7.81932,1.10,-1.34
7.85650,3.05,-1.91
7.89385,3.05,-1.91
7.93139,1.50,-9.23
7.96910,1.50,-9.23
8.12175,1.02,-1.50
8.16037,0.53,-1.50
8.19917,0.53,-9.31
8.23815,1.18,-9.15
8.27732,1.18,-1.75
8.31668,0.61,-1.50
8.35622,1.91,-8.82
8.39595,2.97,-8.82
8.51629,0.93,1.02
8.55678,1.50,-9.31
8.59747,2.72,-8.90
8.63835,2.72,-8.90
8.67942,1.02,-9.23
8.72069,1.02,-9.23
8.76215,1.02,-9.31
8.80381,1.26,-9.31
8.92999,1.18,-9.07
8.97245,1.99,-9.07
9.01512,1.99,-9.23
9.05798,2.15,-9.23
9.10105,2.15,-9.23
9.14432,1.34,-9.23
9.18780,0.85,-9.23
9.31948,2.64,-9.39
9.36380,2.64,-7.68
9.40832,2.48,-2.32
9.45305,2.48,-2.32
9.49800,1.10,-8.90
9.54316,1.59,-8.98
9.58854,1.59,-9.07
9.72596,1.99,-8.98
9.77221,1.75,-8.74
9.81867,2.15,-1.34
9.86536,2.15,-1.83
9.91227,2.15,-1.83
9.95940,2.15,-8.82
10.00675,-1.34,-8.82
10.05433,-1.34,-8.82
10.10214,-1.02,-1.75
10.15017,1.42,-8.98
10.19843,2.15,-1.42
10.24692,2.32,-1.42
10.29565,2.32,-1.59
10.34460,1.50,-1.59
10.39378,1.83,-9.07
10.59288,0.69,-8.90
10.64325,0.77,-8.74
10.69385,0.93,-0.85
10.74470,0.93,-1.02
10.79579,0.04,-1.02
10.84712,0.04,-0.69
10.89870,0.37,-0.85
10.95052,0.37,-0.85
11.00258,0.69,-0.45
11.05490,1.10,-0.69
11.10746,1.34,-1.59
11.16028,1.18,-1.59
11.21334,0.69,-8.09
11.26666,0.53,-0.45
11.32023,0.53,-0.28
11.37405,0.61,-0.85
