Frequency (MHz),Peak (dBuV)
0.91146,38.40
0.91369,43.21
0.91593,45.05
0.91817,45.19
0.92042,45.19
0.93174,45.05
0.93402,45.19
0.93630,44.20
0.93860,44.06
0.94089,41.51
0.94320,41.51
0.94551,36.28
0.94782,35.29
0.95014,34.44
0.95247,34.30
0.95480,31.75
0.95714,31.75
0.95948,31.61
0.96183,31.47
0.96418,31.33
0.96654,31.33
0.96891,31.47
0.97128,31.47
0.97366,31.47
0.97604,34.44
0.97843,36.28
0.98083,39.11
0.98323,39.25
0.98564,42.22
0.98805,47.88
0.99047,48.16
0.99289,48.16
1.00020,48.16
1.00265,48.02
1.00510,47.31
1.00756,47.31
1.01003,40.10
1.01250,37.13
1.01498,33.31
1.01747,34.30
1.01996,32.74
1.02245,32.89
1.02496,33.03
1.02747,33.17
1.02998,33.31
1.03250,33.31
1.03503,33.31
1.03756,34.44
1.04010,35.29
1.04265,35.86
1.04520,36.00
1.04776,39.25
1.05033,40.10
1.05290,40.24
1.05547,43.07
1.05806,47.03
1.06065,47.31
1.06325,47.17
1.06585,47.88
1.06846,48.02
1.07107,47.88
1.07369,47.17
1.07632,47.31
1.07896,44.34
1.08160,41.09
1.08425,38.40
1.08690,38.40
1.08956,38.26
1.09223,38.26
1.09490,38.12
1.09758,35.29
1.10296,34.44
1.10566,34.44
1.10837,34.44
1.11380,38.83
1.11653,38.83
1.12750,40.10
1.13026,45.05
1.13303,45.05
1.13580,45.05
1.13858,44.63
1.14137,44.20
1.14417,44.20
1.14697,42.36
1.14977,42.36
1.15259,42.36
1.15541,39.53
1.15824,39.25
1.16107,38.26
1.16392,38.26
1.16677,35.29
1.16962,35.29
1.17249,34.02
1.17536,33.17
1.17823,33.31
1.18112,33.31
1.18401,34.16
1.18691,36.14
1.18981,36.99
1.19273,36.85
1.20151,37.13
1.20445,37.13
1.20740,37.13
1.21035,37.27
1.21331,37.13
1.21628,36.99
1.21926,35.15
1.22225,34.16
1.22824,34.16
1.23125,34.58
1.23426,34.72
1.23728,35.29
1.24031,35.43
1.24335,35.29
1.24639,34.30
1.24944,34.30
1.25250,34.44
1.25557,37.69
1.25864,37.69
1.26172,37.41
1.26481,37.13
1.27101,42.08
1.27412,42.36
1.27724,43.21
1.28037,43.21
1.28350,43.21
1.28664,43.21
1.28979,43.07
1.29295,41.23
1.29611,41.51
1.29929,41.51
1.30247,39.25
1.30566,38.26
1.30885,37.13
1.31206,37.13
1.31527,37.13
1.31849,37.13
1.32172,37.13
1.32495,39.11
1.32820,39.25
1.33145,40.95
1.33471,41.09
1.33797,42.08
1.34125,44.63
1.34453,45.19
1.34782,45.19
1.35112,45.19
1.35443,45.05
1.35775,44.06
1.36107,45.19
1.36440,45.19
1.36774,45.19
1.37109,40.95
1.37445,40.10
1.37781,39.25
1.38118,39.11
1.38456,37.69
1.38795,37.69
1.39135,37.69
1.39476,36.28
1.39817,38.26
1.40160,40.95
1.40503,42.36
1.40847,42.50
1.41191,42.36
1.41537,45.19
1.41883,47.17
1.42231,48.02
1.42579,48.02
1.42928,48.02
1.43278,47.03
1.43629,47.03
1.43980,46.89
1.44333,41.23
1.44686,40.10
1.45040,37.27
1.45395,32.32
1.45751,33.73
1.46108,33.73
1.46466,33.45
1.46824,33.31
1.47544,48.87
1.47905,48.87
1.48267,48.87
1.48630,48.73
1.48994,48.59
1.49359,48.30
1.49724,48.30
1.50091,48.30
1.50458,48.44
1.50827,48.73
1.51196,48.73
1.51566,48.87
1.51937,48.87
1.52309,48.87
