Frequency (MHz),Peak (dBuV),Average (dBuV)
1.35831,4.29,-5.15
1.36477,4.29,-5.15
1.37126,2.70,-5.95
1.37778,4.03,-5.41
1.38433,4.03,-5.41
1.39091,3.89,-5.95
1.39752,4.56,-5.28
1.40417,4.56,-5.28
1.41085,3.09,-6.08
1.41755,2.70,-5.68
1.42429,3.23,-5.68
1.43107,3.23,-6.08
1.43787,4.29,-5.41
1.44471,4.29,-5.28
1.45158,3.49,-5.41
1.45848,2.43,-6.88
1.46541,3.36,-6.88
1.47238,3.36,-5.95
1.47938,3.23,-5.81
1.48642,3.09,-5.55
1.49348,3.09,-5.55
1.50059,3.76,-5.68
1.50772,3.76,-5.68
1.51489,4.03,-6.21
1.52209,4.03,-6.21
1.52933,3.36,-5.41
1.53660,2.70,-5.41
1.54391,2.56,-7.01
1.55125,3.09,-5.95
1.55862,3.09,-5.95
1.56603,3.49,-7.01
1.57348,3.49,-6.08
1.58096,2.96,-6.08
1.58848,2.96,-6.48
1.59603,3.09,-5.95
1.60362,24.63,2.16
1.61125,24.90,5.22
1.61891,24.90,0.83
1.62660,7.48,-4.35
1.63434,4.16,-5.01
1.64211,3.23,-5.95
1.64992,3.23,-5.95
1.65776,3.63,-5.41
1.66564,3.63,-5.41
1.67356,3.49,-5.95
1.68152,3.49,-5.15
1.68952,3.49,-5.15
1.69755,3.89,-5.15
1.70562,5.09,-5.15
1.71373,5.09,-5.28
1.72188,3.89,-4.35
1.73007,3.89,-4.35
1.73829,3.63,-4.48
1.74656,5.09,-4.48
1.75486,5.09,-4.75
1.76321,4.69,-4.35
1.77159,3.76,-4.35
1.78001,3.09,-5.15
1.78848,4.42,-4.35
1.79698,4.42,-4.35
1.80553,4.96,-4.62
1.81411,4.96,-4.62
1.82274,2.70,-6.34
1.83140,4.56,-5.01
1.84011,4.56,-5.01
1.84886,4.03,-5.81
1.85765,4.03,-5.81
1.86648,2.83,-6.74
1.87536,3.09,-6.21
1.88428,3.89,-6.21
1.89324,3.89,-6.48
1.90224,2.70,-6.48
1.91128,3.23,-6.88
1.92037,3.23,-6.88
1.92950,3.23,-7.01
1.93868,3.23,-7.27
1.94789,3.23,-7.41
1.95715,2.30,-6.74
1.96646,2.30,-6.74
1.97581,2.96,-6.88
1.98521,2.96,-6.88
1.99464,2.43,-7.14
2.00413,14.26,1.63
2.01366,16.79,2.03
2.02323,16.79,3.09
2.03285,5.22,-3.15
2.04252,3.36,-6.61
2.05223,3.36,-6.61
2.06199,3.63,-6.48
2.07179,3.63,-6.48
2.08164,2.83,-6.34
2.09154,2.30,-6.34
2.10149,2.83,-6.21
2.11148,3.36,-5.95
2.12152,3.36,-5.95
2.13160,2.70,-6.08
2.14174,2.70,-6.08
2.15192,3.76,-5.95
2.16216,3.76,-5.95
2.17244,3.49,-6.34
2.18277,3.49,-6.34
2.19314,2.70,-6.34
2.20357,2.70,-6.34
2.21405,2.56,-6.61
2.22458,3.23,-6.61
2.23515,3.23,-7.27
2.24578,2.30,-7.27
2.25646,2.83,-6.61
2.26719,2.83,-6.61
2.27797,1.90,-7.41
2.28880,1.90,-7.01
2.29968,2.03,-7.01
2.31062,2.03,-7.67
2.32160,2.70,-7.41
2.33264,3.23,-7.41
2.34373,3.23,-7.41
2.35488,2.83,-7.41
2.36607,2.83,-7.41
2.37732,2.56,-7.54
2.38863,2.56,-7.27
2.39999,8.01,-2.49
2.41140,26.62,1.63
2.42286,26.62,1.90
2.43438,19.98,0.57
2.44596,3.89,-6.48
2.45759,3.89,-6.48
2.46927,4.16,-5.81
2.48101,4.16,-5.81
2.49281,2.43,-6.34
2.50466,2.70,-6.34
2.51657,3.09,-7.27
2.52854,3.09,-6.48
2.54056,3.09,-6.34
2.55264,4.56,-6.34
2.56478,4.56,-6.34
2.57697,4.29,-6.21
2.58923,3.09,-6.21
2.60154,3.09,-6.21
2.61391,2.70,-6.21
2.62634,2.70,-7.41
2.63882,2.96,-7.27
2.65137,2.96,-7.14
2.66398,2.43,-7.14
2.67664,2.43,-7.14
2.68937,2.83,-7.14
2.70216,3.09,-7.27
2.71501,3.09,-7.54
2.72792,2.96,-7.41
2.74089,2.56,-7.14
2.75392,2.56,-7.14
2.76701,2.16,-7.27
2.78017,2.16,-7.41
2.79339,2.30,-7.27
2.80667,15.46,-0.23
2.82002,15.46,0.04
2.83342,15.19,0.17
2.84690,3.09,-6.88
2.86043,2.96,-6.74
2.87403,3.63,-6.08
2.88770,3.63,-6.08
2.90143,3.23,-6.34
2.91522,3.23,-6.34
2.92909,2.70,-6.88
2.94301,4.42,-6.48
2.95701,4.42,-6.48
2.97107,3.49,-6.88
2.98519,3.89,-6.21
2.99939,3.89,-6.21
3.01365,3.09,-6.74
3.02798,3.09,-6.88
3.04237,4.82,-6.48
3.05684,4.82,-6.48
3.07138,3.76,-7.01
3.08598,2.43,-7.14
3.10065,4.69,-7.14
3.11540,4.69,-7.41
3.13021,2.43,-7.41
3.14509,2.43,-7.41
3.16005,2.43,-6.88
3.17507,2.43,-6.88
3.19017,2.43,-7.27
3.20534,25.30,0.17
3.22058,25.96,2.16
3.23589,25.96,1.63
3.25128,3.63,-7.14
3.26674,3.63,-7.01
3.28227,3.63,-6.88
3.29787,3.36,-6.88
3.31355,3.36,-6.74
3.32931,3.36,-6.74
3.34514,2.83,-6.88
3.36105,3.36,-6.74
3.37703,3.36,-6.74
3.39308,3.23,-6.88
3.40922,3.09,-7.01
3.42543,3.09,-7.14
3.44171,3.23,-7.01
3.45808,3.76,-7.01
3.47452,3.89,-7.01
3.49104,3.89,-7.01
3.50764,3.63,-7.01
3.52432,3.63,-6.88
3.54108,3.23,-6.88
3.55791,3.36,-7.01
3.57483,3.36,-7.54
3.59183,2.96,-7.54
3.60891,24.10,0.04
3.62607,24.10,0.70
3.64331,21.97,0.57
3.66063,2.03,-7.27
3.67804,3.23,-6.61
3.69552,4.03,-6.34
3.71310,4.03,-6.34
3.73075,3.63,-6.48
3.74849,3.23,-6.48
3.76631,3.23,-6.48
3.78422,4.96,-6.61
3.80221,4.96,-6.48
3.82029,4.42,-6.48
3.83846,4.42,-6.61
3.85671,2.83,-6.61
3.87505,3.36,-6.34
3.89347,3.36,-6.21
3.91198,2.83,-6.21
3.93058,3.76,-6.48
3.94927,3.76,-6.48
3.96805,3.23,-6.48
3.98692,3.23,-6.74
4.00588,21.57,0.97
4.02492,21.97,1.10
4.04406,21.97,0.57
4.06329,3.76,-6.61
4.08261,4.29,-5.95
4.10202,4.29,-5.95
4.12152,4.03,-5.95
4.14112,4.42,-5.81
4.16081,4.42,-5.81
4.18060,4.29,-5.95
4.20047,4.69,-5.95
4.22045,4.69,-5.95
4.24051,3.76,-6.08
4.26068,5.22,-6.21
4.28093,5.22,-5.95
4.30129,4.96,-5.95
4.32174,3.63,-6.08
4.34229,3.76,-6.08
4.36294,4.56,-6.08
4.38368,6.15,-6.08
4.40452,18.78,1.63
4.42547,27.16,2.83
4.44651,27.16,1.90
4.46765,4.69,-6.34
4.48889,5.09,-6.21
4.51024,5.09,-6.21
4.53168,3.89,-6.08
4.55323,4.96,-6.08
4.57488,4.96,-6.08
4.59663,4.29,-6.08
4.61849,4.82,-6.08
4.64045,4.82,-5.81
4.66251,4.56,-5.81
4.68468,4.56,-6.21
4.70696,4.56,-6.21
4.72934,4.82,-5.81
4.75182,4.82,-5.81
4.77442,3.23,-6.08
4.79712,2.96,-6.88
4.81993,5.22,-1.43
4.84285,5.22,-1.43
4.86587,4.69,-6.34
4.88901,8.68,-6.08
4.91226,8.68,-5.95
4.93561,4.16,-5.81
4.95908,8.81,-5.55
4.98266,8.81,-5.55
5.00635,5.22,-5.81
5.03015,4.96,-5.81
5.05407,4.96,-6.08
5.07810,5.09,-6.08
5.10225,5.09,-5.95
5.12651,5.49,-5.55
5.15088,5.49,-5.55
5.17537,3.76,-5.95
5.19998,11.87,-0.10
5.22471,27.29,1.23
5.24955,27.29,1.23
5.27451,4.82,-5.68
5.29959,4.29,-5.68
5.32479,4.96,-5.68
5.35011,4.96,-5.68
5.37554,5.62,-5.68
5.40110,5.62,-5.68
5.42679,4.42,-5.81
5.45259,4.42,-5.68
5.47851,5.62,-5.68
5.50456,5.62,-5.81
5.53074,4.03,-5.55
5.55703,4.69,-5.55
5.58346,4.69,-5.68
5.61000,21.44,1.37
5.63668,21.57,0.97
5.66348,21.44,0.83
5.69041,5.75,-5.81
5.71746,5.75,-5.81
5.74465,10.27,-5.15
5.77196,10.27,-5.15
5.79941,5.49,-5.28
5.82698,5.62,-5.28
5.85469,6.42,-5.28
5.88253,6.42,-5.41
5.91050,6.15,-4.88
5.93860,8.28,-2.36
5.96684,8.28,-2.36
5.99521,4.56,-4.22
6.02371,25.16,1.37
6.05236,25.16,2.30
6.08113,4.96,-4.62
6.11005,5.22,-5.55
6.13910,5.35,-5.28
6.16829,5.35,-5.28
6.19762,7.08,-5.28
6.22709,7.08,-5.15
6.25670,6.82,-5.15
6.28645,6.82,-5.01
6.31634,5.49,-5.01
6.34637,5.49,-5.01
6.37654,5.49,-5.15
6.40686,21.17,2.30
6.43733,26.36,2.16
6.46793,26.36,1.50
6.49869,6.02,-5.01
6.52959,6.02,-4.88
6.56063,5.49,-4.75
6.59183,4.96,-4.75
6.62317,4.69,-5.01
6.65466,5.09,-5.01
6.68631,5.75,-4.88
6.71810,5.75,-4.88
6.75004,5.62,-5.01
6.78213,5.22,-5.01
6.81438,18.52,0.70
6.84678,18.52,0.70
6.87934,15.86,0.57
6.91205,5.35,-4.48
6.94491,6.95,-4.48
6.97793,6.95,-4.48
7.01111,5.62,-4.62
7.04445,6.29,-4.48
7.07794,6.29,-4.35
7.11160,6.15,-4.35
7.14541,6.82,-4.35
7.17939,6.82,-4.48
7.21352,27.82,2.96
7.24782,27.95,3.09
7.28228,27.82,2.03
7.31691,6.29,-4.22
7.35170,6.29,-4.22
7.38666,6.68,-3.82
7.42178,7.88,-3.69
7.45707,7.88,-3.69
7.49252,6.55,-3.69
7.52815,6.55,-3.82
7.56394,6.02,-3.42
7.59991,5.89,-3.42
7.63604,15.06,0.83
7.67235,15.06,1.63
7.70883,5.75,-3.02
7.74549,6.15,-3.02
7.78231,7.48,-3.02
7.81932,7.48,-3.02
7.85650,7.08,-3.42
7.89385,8.01,-3.42
7.93139,8.01,-3.15
7.96910,7.88,-3.15
8.00699,15.99,3.63
8.04506,27.16,3.76
8.08331,27.16,4.03
8.12175,7.61,-2.75
8.16037,6.95,-2.75
8.19917,6.82,-2.75
8.23815,7.75,-3.02
8.27732,7.75,-2.89
8.31668,7.22,-2.75
8.35622,9.87,-2.75
8.39595,9.87,-3.15
8.43588,24.63,3.89
8.47599,24.63,3.63
8.51629,13.60,-2.36
8.55678,13.60,-2.36
8.59747,11.60,-2.36
8.63835,16.12,-2.36
8.67942,16.12,-2.75
8.72069,8.01,-2.36
8.76215,11.60,-1.96
8.80381,11.60,-1.96
8.84567,23.57,3.49
8.88773,23.57,4.42
8.92999,10.54,-2.09
8.97245,9.61,-2.09
9.01512,8.15,-2.09
9.05798,8.55,-2.09
9.10105,8.55,-1.96
9.14432,8.15,-1.96
9.18780,7.88,-2.22
9.23149,27.69,4.03
9.27538,27.69,4.56
9.31948,7.75,-1.96
9.36380,10.54,-1.43
9.40832,10.54,-1.43
9.45305,9.74,-2.09
9.49800,9.74,-1.82
9.54316,9.87,-1.82
9.58854,12.53,-1.82
9.63413,12.53,2.16
9.67994,14.53,2.16
9.72596,16.52,-1.56
9.77221,16.79,-1.29
9.81867,16.79,-1.03
9.86536,15.06,-0.76
9.91227,15.46,-0.76
9.95940,25.56,-0.36
10.00675,25.56,6.68
10.05433,28.22,6.95
10.10214,28.22,6.82
10.15017,16.92,-0.23
10.19843,16.39,-0.23
10.24692,16.12,0.04
10.29565,13.86,0.04
10.34460,12.13,0.30
10.39378,12.40,0.30
10.44321,21.44,6.42
10.49286,21.44,6.42
10.54275,11.47,1.23
10.59288,11.47,1.10
10.64325,11.87,1.10
10.69385,11.87,0.97
10.74470,11.74,1.10
10.79579,12.80,1.10
10.84712,26.62,8.15
10.89870,26.62,7.75
10.95052,12.00,1.37
11.00258,12.67,1.37
11.05490,12.67,1.50
11.10746,12.00,1.50
11.16028,12.53,1.50
11.21334,25.16,8.68
11.26666,26.49,8.68
11.32023,26.49,8.68
11.37405,15.59,1.77
11.42813,15.59,1.77
11.48247,12.53,1.50
11.53707,12.53,1.50
11.59193,12.00,1.37
11.64704,21.44,7.35
11.70242,21.44,7.35
11.75806,14.26,1.50
11.81397,14.26,1.50
11.87014,12.67,1.90
11.92658,12.80,2.16
11.98329,13.20,2.43
12.04027,28.22,9.48
12.09752,28.22,9.87
12.15504,14.39,2.96
12.21283,15.72,2.96
