Frequency (MHz),Peak (dBuV),Average (dBuV)
1.73007,1.26,-8.50
1.73829,1.26,-8.58
1.74656,0.93,-8.58
1.75486,1.91,-8.41
1.76321,1.91,-8.33
1.77159,1.50,-8.33
1.78001,1.75,-8.50
1.78848,2.07,-8.33
1.79698,2.07,-8.33
1.80553,1.67,-8.50
1.81411,2.56,-8.50
1.82274,2.56,-8.66
1.83140,1.67,-8.74
1.84011,1.91,-8.74
1.84886,1.91,-8.74
1.85765,1.91,-8.82
1.86648,1.67,-8.82
1.87536,0.85,-8.58
1.88428,1.34,-8.41
1.89324,1.34,-8.41
1.90224,1.26,-8.41
1.91128,0.61,-8.82
1.92037,1.42,-8.58
1.92950,1.42,-8.50
1.93868,1.75,-8.50
1.94789,2.72,-8.74
1.95715,2.72,-8.74
1.96646,2.72,-8.82
1.97581,2.72,-8.74
1.98521,1.99,-8.74
1.99464,1.99,-8.90
2.00413,15.81,-0.85
2.01366,18.33,-0.85
2.02323,18.33,-1.26
2.03285,8.17,-1.26
2.04252,0.69,-8.82
2.05223,1.67,-8.82
2.06199,1.67,-8.25
2.07179,1.83,-8.25
2.08164,1.83,-8.50
2.09154,0.77,-8.50
2.10149,1.75,-8.25
2.11148,1.83,-8.25
2.12152,1.83,-8.41
2.13160,1.59,-8.58
2.14174,1.75,-8.58
2.15192,2.48,-8.58
2.16216,2.72,-8.41
2.17244,2.72,-8.41
2.18277,1.75,-8.58
2.19314,1.59,-8.41
2.20357,1.59,-8.41
2.21405,1.18,-8.01
2.22458,1.18,-8.01
2.23515,1.26,-8.50
2.24578,2.24,-8.50
2.25646,2.72,-8.50
2.26719,2.72,-8.50
2.27797,2.89,-8.33
2.28880,2.89,-8.33
2.29968,1.83,-8.33
2.31062,1.50,-8.17
2.32160,1.50,-8.17
2.33264,2.32,-8.25
2.34373,2.32,-8.25
2.35488,2.40,-8.74
2.36607,2.40,-8.58
2.37732,1.18,-8.58
2.38863,1.50,-8.33
2.39999,11.34,-0.45
2.41140,28.33,1.26
2.42286,28.33,1.67
2.43438,20.93,0.12
2.44596,1.91,-8.25
2.45759,1.67,-8.33
2.46927,1.67,-8.33
2.48101,1.50,-8.17
2.49281,3.05,-8.17
2.50466,3.05,-8.41
2.51657,1.99,-8.17
2.52854,2.40,-8.17
2.54056,2.64,-8.25
2.55264,2.64,-8.09
2.56478,2.40,-8.09
2.57697,2.40,-8.01
2.58923,1.42,-8.01
2.60154,1.42,-8.17
2.61391,1.50,-7.76
2.62634,1.50,-7.76
2.63882,1.02,-8.17
2.65137,1.50,-7.68
2.66398,1.99,-7.68
2.67664,1.99,-8.09
2.68937,1.42,-8.33
2.70216,3.05,-8.33
2.71501,3.05,-8.01
2.72792,2.48,-8.01
2.74089,1.18,-7.60
2.75392,1.42,-7.60
2.76701,1.50,-8.01
2.78017,1.83,-8.58
2.79339,1.83,-8.58
2.80667,16.71,-0.77
2.82002,16.71,-0.12
2.83342,15.81,-1.83
2.84690,1.18,-8.74
2.86043,1.59,-8.66
2.87403,1.59,-8.17
2.88770,1.50,-8.17
2.90143,2.15,-8.17
2.91522,2.15,-7.93
2.92909,3.21,-7.93
2.94301,3.21,-8.09
2.95701,1.99,-8.09
2.97107,2.80,-8.09
2.98519,2.80,-7.85
2.99939,2.48,-7.85
3.01365,1.91,-7.85
3.02798,2.32,-8.09
3.04237,2.32,-8.01
3.05684,1.99,-8.01
3.07138,2.72,-7.76
3.08598,2.72,-7.76
3.10065,2.56,-7.76
3.11540,2.80,-7.76
3.13021,2.80,-7.85
3.14509,2.48,-7.93
3.16005,2.15,-8.09
3.17507,2.15,-8.09
3.19017,1.75,-7.85
3.20534,26.95,0.37
3.22058,27.85,2.80
3.23589,27.85,0.37
3.25128,3.62,-7.60
3.26674,2.56,-7.60
3.28227,2.80,-7.52
3.29787,3.46,-7.52
3.31355,3.46,-7.44
3.32931,3.05,-7.20
3.34514,3.05,-7.20
3.36105,3.21,-7.52
3.37703,3.21,-7.36
3.39308,2.72,-7.11
3.40922,2.72,-7.11
3.42543,2.40,-7.11
3.44171,2.40,-6.95
3.45808,2.72,-6.95
3.47452,2.72,-6.95
3.49104,2.72,-6.95
3.50764,2.72,-7.36
3.52432,3.37,-7.36
3.54108,3.37,-7.03
3.55791,3.70,-7.03
3.57483,3.70,-7.20
3.59183,2.72,-7.36
3.60891,25.81,1.02
3.62607,25.81,1.02
3.64331,24.43,0.04
3.66063,3.21,-7.68
3.67804,3.21,-7.03
3.69552,4.19,-6.79
3.71310,4.19,-6.71
3.73075,3.54,-6.22
3.74849,3.21,-6.22
3.76631,3.94,-6.54
3.78422,3.94,-6.30
3.80221,3.37,-6.30
3.82029,4.35,-6.14
3.83846,4.35,-6.14
3.85671,3.54,-6.22
3.87505,4.02,-6.22
3.89347,4.02,-6.22
3.91198,3.78,-6.14
3.93058,4.35,-5.89
3.94927,4.35,-5.89
3.96805,4.11,-6.54
3.98692,4.84,-6.95
4.00588,24.02,0.93
4.02492,24.11,1.50
4.04406,24.11,0.37
4.06329,4.02,-6.46
4.08261,4.02,-6.30
4.10202,4.84,-5.89
4.12152,4.84,-5.81
4.14112,4.51,-5.81
4.16081,4.27,-5.81
4.18060,4.27,-5.98
4.20047,4.76,-5.98
4.22045,5.81,-5.73
4.24051,5.81,-5.73
4.26068,4.51,-5.73
4.28093,4.51,-5.49
4.30129,5.33,-5.49
4.32174,5.33,-5.49
4.34229,6.38,-5.49
4.36294,6.38,-5.65
4.38368,4.76,-5.98
4.40452,20.28,0.93
4.42547,28.82,2.48
4.44651,28.82,2.40
4.46765,5.81,-5.98
4.48889,4.11,-6.06
4.51024,3.94,-6.06
4.53168,3.94,-6.22
4.55323,4.67,-5.73
4.57488,4.76,-5.73
4.59663,4.76,-6.14
4.61849,4.43,-6.22
4.64045,4.67,-6.14
4.66251,5.08,-6.06
4.68468,5.08,-6.06
4.70696,4.19,-6.14
4.72934,3.94,-5.98
4.75182,3.29,-5.98
4.77442,4.02,-5.98
4.79712,4.02,-6.87
4.81993,8.98,-0.28
4.84285,8.98,-0.53
4.86587,3.86,-6.87
4.88901,6.14,-5.73
4.91226,6.14,-5.73
4.93561,5.08,-5.57
4.95908,5.08,-5.57
4.98266,4.67,-5.73
5.00635,6.38,-5.57
5.03015,6.79,-5.57
5.05407,7.20,-5.73
5.07810,7.20,-5.41
5.10225,7.11,-5.41
5.12651,3.94,-5.73
5.15088,5.24,-5.89
5.17537,5.24,-5.98
5.19998,10.69,0.85
5.22471,29.31,2.64
5.24955,29.31,2.15
5.27451,4.19,-5.33
5.29959,4.84,-5.16
5.32479,5.08,-5.16
5.35011,5.49,-5.33
5.37554,5.49,-5.41
5.40110,4.76,-5.49
5.42679,5.24,-5.33
5.45259,5.24,-5.33
5.47851,4.43,-5.24
5.50456,6.54,-5.24
5.53074,6.54,-5.24
5.55703,6.38,-5.24
5.58346,4.11,-5.81
5.61000,22.56,-0.37
5.63668,22.56,-0.37
5.66348,22.48,0.12
5.69041,4.43,-5.65
5.71746,4.76,-5.16
5.74465,5.57,-4.92
5.77196,5.57,-4.92
5.79941,5.33,-5.16
5.82698,5.98,-5.16
5.85469,5.98,-4.92
5.88253,5.49,-4.92
5.91050,6.63,-4.84
5.93860,10.61,3.05
5.96684,10.61,1.99
5.99521,9.63,1.42
6.02371,27.44,1.59
6.05236,27.44,2.64
6.08113,7.03,-3.62
6.11005,4.92,-4.35
6.13910,6.38,-4.35
6.16829,6.38,-4.51
6.19762,6.06,-4.51
6.22709,6.22,-4.67
6.25670,6.22,-4.67
6.28645,5.65,-4.51
6.31634,5.89,-4.27
6.34637,6.22,-4.27
6.37654,6.22,-4.59
6.40686,26.71,2.40
6.43733,28.01,2.56
6.46793,28.01,1.91
6.49869,6.54,-4.02
6.52959,6.54,-4.02
6.56063,6.38,-3.94
